id,origem_id,origem_categoria,alvo_id,alvo_categoria,score,created_at
718,124998,anime,125006,anime,1,2025-12-05 06:27:51.429093+00
719,124998,anime,125012,anime,1,2025-12-05 06:27:51.429093+00
720,124998,anime,722,filme,1,2025-12-05 06:27:51.429093+00
721,124998,anime,90814,livro,1,2025-12-05 06:27:51.429093+00
722,124998,anime,50679,jogo,1,2025-12-05 06:27:51.429093+00
723,124998,anime,51022,jogo,1,2025-12-05 06:27:51.429093+00
724,124998,anime,49654,jogo,1,2025-12-05 06:27:51.429093+00
725,124998,anime,91618,livro,1,2025-12-05 06:27:51.429093+00
726,125006,anime,124998,anime,1,2025-12-05 06:27:51.429093+00
727,125006,anime,125012,anime,1,2025-12-05 06:27:51.429093+00
728,125006,anime,722,filme,1,2025-12-05 06:27:51.429093+00
729,125006,anime,90814,livro,1,2025-12-05 06:27:51.429093+00
730,125006,anime,50679,jogo,1,2025-12-05 06:27:51.429093+00
731,125006,anime,51022,jogo,1,2025-12-05 06:27:51.429093+00
732,125006,anime,49654,jogo,1,2025-12-05 06:27:51.429093+00
733,125006,anime,91618,livro,1,2025-12-05 06:27:51.429093+00
734,125012,anime,124998,anime,1,2025-12-05 06:27:51.429093+00
735,125012,anime,125006,anime,1,2025-12-05 06:27:51.429093+00
736,125012,anime,722,filme,1,2025-12-05 06:27:51.429093+00
737,125012,anime,90814,livro,1,2025-12-05 06:27:51.429093+00
738,125012,anime,50679,jogo,1,2025-12-05 06:27:51.429093+00
739,125012,anime,51022,jogo,1,2025-12-05 06:27:51.429093+00
740,125012,anime,49654,jogo,1,2025-12-05 06:27:51.429093+00
741,125012,anime,91618,livro,1,2025-12-05 06:27:51.429093+00
828,722,filme,124998,anime,1,2025-12-05 06:27:51.429093+00
829,722,filme,125006,anime,1,2025-12-05 06:27:51.429093+00
830,722,filme,125012,anime,1,2025-12-05 06:27:51.429093+00
831,722,filme,90814,livro,1,2025-12-05 06:27:51.429093+00
832,722,filme,50679,jogo,1,2025-12-05 06:27:51.429093+00
833,722,filme,51022,jogo,1,2025-12-05 06:27:51.429093+00
834,722,filme,49654,jogo,1,2025-12-05 06:27:51.429093+00
835,722,filme,91618,livro,1,2025-12-05 06:27:51.429093+00
931,49654,jogo,124998,anime,1,2025-12-05 06:27:51.429093+00
932,49654,jogo,125006,anime,1,2025-12-05 06:27:51.429093+00
933,49654,jogo,125012,anime,1,2025-12-05 06:27:51.429093+00
934,49654,jogo,722,filme,1,2025-12-05 06:27:51.429093+00
935,49654,jogo,90814,livro,1,2025-12-05 06:27:51.429093+00
936,49654,jogo,50679,jogo,1,2025-12-05 06:27:51.429093+00
937,49654,jogo,51022,jogo,1,2025-12-05 06:27:51.429093+00
938,49654,jogo,91618,livro,1,2025-12-05 06:27:51.429093+00
943,50679,jogo,124998,anime,1,2025-12-05 06:27:51.429093+00
944,50679,jogo,125006,anime,1,2025-12-05 06:27:51.429093+00
945,50679,jogo,125012,anime,1,2025-12-05 06:27:51.429093+00
946,50679,jogo,722,filme,1,2025-12-05 06:27:51.429093+00
947,50679,jogo,90814,livro,1,2025-12-05 06:27:51.429093+00
948,50679,jogo,51022,jogo,1,2025-12-05 06:27:51.429093+00
949,50679,jogo,49654,jogo,1,2025-12-05 06:27:51.429093+00
950,50679,jogo,91618,livro,1,2025-12-05 06:27:51.429093+00
951,51022,jogo,124998,anime,1,2025-12-05 06:27:51.429093+00
952,51022,jogo,125006,anime,1,2025-12-05 06:27:51.429093+00
953,51022,jogo,125012,anime,1,2025-12-05 06:27:51.429093+00
954,51022,jogo,722,filme,1,2025-12-05 06:27:51.429093+00
955,51022,jogo,90814,livro,1,2025-12-05 06:27:51.429093+00
956,51022,jogo,50679,jogo,1,2025-12-05 06:27:51.429093+00
957,51022,jogo,49654,jogo,1,2025-12-05 06:27:51.429093+00
958,51022,jogo,91618,livro,1,2025-12-05 06:27:51.429093+00
976,90814,livro,124998,anime,1,2025-12-05 06:27:51.429093+00
977,90814,livro,125006,anime,1,2025-12-05 06:27:51.429093+00
978,90814,livro,125012,anime,1,2025-12-05 06:27:51.429093+00
979,90814,livro,722,filme,1,2025-12-05 06:27:51.429093+00
980,90814,livro,50679,jogo,1,2025-12-05 06:27:51.429093+00
981,90814,livro,51022,jogo,1,2025-12-05 06:27:51.429093+00
982,90814,livro,49654,jogo,1,2025-12-05 06:27:51.429093+00
983,90814,livro,91618,livro,1,2025-12-05 06:27:51.429093+00
984,91618,livro,124998,anime,1,2025-12-05 06:27:51.429093+00
985,91618,livro,125006,anime,1,2025-12-05 06:27:51.429093+00
986,91618,livro,125012,anime,1,2025-12-05 06:27:51.429093+00
987,91618,livro,722,filme,1,2025-12-05 06:27:51.429093+00
988,91618,livro,90814,livro,1,2025-12-05 06:27:51.429093+00
989,91618,livro,50679,jogo,1,2025-12-05 06:27:51.429093+00
990,91618,livro,51022,jogo,1,2025-12-05 06:27:51.429093+00
991,91618,livro,49654,jogo,1,2025-12-05 06:27:51.429093+00